,RA,DEC
1004,15.555,14.896
1005,15.591,14.822
1006,15.601,14.816
1007,16.915,14.735
1008,17.328,14.801
1009,17.503,14.797
1010,18.628,14.624
1011,18.992,14.677
1012,20.242,14.51
1013,20.38,14.505
1014,22.892,14.462
1015,23.248,14.373
1016,24.197,14.229
1017,26.598,14.121
1018,27.155,14.04
1019,28.931,13.906
1020,30.514,13.595
1021,31.716,13.631
1022,31.891,13.564
1023,33.592,13.322
1024,11.275,15.432
1025,11.708,15.465
1026,12.144,15.385
1027,13.777,15.417
1028,15.325,15.299
1029,18.869,15.067
1030,19.551,15.098
1031,19.693,14.991
1032,21.224,15.036
1033,21.302,15.012
1034,26.092,14.623
1035,27.146,14.541
1036,27.553,14.345
1037,30.016,14.12
1039,30.717,14.113
1040,31.074,14.114
1041,31.27,14.083
1042,7.285,15.899
1043,7.61,16.027
1044,7.794,15.887
1045,7.882,15.87
1046,11.838,15.773
1047,12.675,15.812
1048,12.741,15.87
1049,12.759,15.859
1050,17.462,15.546
1051,18.305,15.508
1052,18.405,15.608
1053,18.566,15.637
1054,20.6,15.342
1055,21.235,15.375
1056,24.232,15.243
1057,24.966,14.998
1058,29.315,14.681
1059,30.62,14.462
1060,32.108,14.349
1061,32.426,14.338
1062,7.045,15.934
1063,9.513,14.052
1064,9.753,14.08
1065,10.345,13.945
1066,10.88,13.935
1067,14.095,13.899
1068,14.085,13.863
1069,19.142,13.686
1070,19.994,13.604
1071,22.899,13.331
1072,22.903,13.335
1073,23.324,13.332
1074,25.701,13.156
1075,26.002,13.077
1076,27.017,13.009
1077,27.287,13.059
1078,27.335,13.015
1079,30.037,12.656
1080,32.625,12.323
1081,32.67,12.477
1082,8.775,14.354
1083,10.893,14.346
1084,12.095,14.34
1085,15.036,14.297
1086,15.037,14.297
1087,17.151,14.074
1088,17.285,14.233
1089,17.36,14.213
1090,17.862,14.099
1091,18.144,14.014
1092,18.763,14.086
1093,19.362,14.06
1094,19.656,14.061
1095,22.45,13.829
1096,27.14,13.431
1097,27.036,13.318
1098,30.418,13.069
1099,30.701,12.96
1100,7.102,14.428
1101,10.356,14.907
1102,10.355,14.906
1103,10.932,14.81
1104,10.967,14.878
1105,12.502,14.747
1106,12.767,14.716
1107,13.889,14.761
1108,16.741,14.521
1109,17.507,14.614
1110,18.716,14.414
1111,19.092,14.486
1112,19.109,14.489
1113,20.359,14.459
1114,22.737,14.109
1115,22.861,14.277
1116,22.742,14.108
1117,25.612,13.977
1118,25.873,13.987
1119,26.808,13.961
1120,27.02,13.801
1121,27.158,13.769
1122,27.164,13.801
1123,28.63,13.582
1124,28.66,13.787
1125,29.131,13.7
1126,31.744,13.318
1127,8.228,15.26
1128,9.877,15.224
1129,9.884,15.224
1130,10.129,15.265
1131,11.018,15.236
1132,10.934,15.337
1133,14.939,15.172
1134,16.838,14.938
1135,17.984,14.865
1136,19.858,14.886
1137,19.96,14.857
1138,20.0,14.784
1139,21.353,14.631
1140,22.564,14.678
1141,24.102,14.53
1142,24.485,14.397
1143,25.581,14.415
1144,31.91,13.822
1145,32.87,13.624
1146,33.328,13.548
1147,9.404,15.65
1148,10.854,15.739
1149,11.311,15.749
1150,12.271,15.552
1151,12.612,15.552
1152,13.386,15.613
1153,15.634,15.437
1154,18.058,15.277
1155,20.892,15.082
1156,23.238,15.02
1157,23.169,15.023
1158,23.436,15.017
1159,23.491,14.945
1160,24.348,14.94
1161,24.758,14.975
1162,24.89,14.915
1163,26.654,14.692
1164,27.44,14.61
1165,28.664,14.503
1166,29.685,14.452
1167,30.321,14.331
1168,32.218,14.239
1169,32.668,14.148
1170,33.001,14.016
1171,33.176,13.969
1172,7.619,16.11
1173,10.252,16.108
1174,12.628,15.962
1175,12.71,16.089
1176,12.787,15.918
1177,13.666,15.913
1178,14.513,15.898
1179,15.887,15.871
1180,15.97,15.825
1181,16.785,15.767
1182,17.266,15.807
1183,18.128,15.733
1184,18.342,15.851
1185,19.157,15.631
1186,19.264,15.669
1187,22.146,15.444
1188,22.217,15.533
1189,25.299,15.292
1190,28.238,14.917
1191,28.377,14.976
1192,28.616,14.962
1193,28.876,14.953
1194,28.977,14.934
1195,29.663,14.942
1196,29.923,14.911
1197,30.476,14.834
1198,30.957,14.742
1199,31.301,14.759
1200,31.358,14.594
1201,31.713,14.722
1202,31.806,14.607
1203,31.9,14.638
1204,31.976,14.684
1205,31.994,14.579
1206,32.96,14.469
1207,33.452,14.445
1208,35.967,-9.6
1209,37.396,-9.384
1210,37.842,-9.357
1211,37.831,-9.291
1212,38.891,-9.363
1213,39.056,-9.31
1214,39.337,-9.177
1215,39.711,-9.262
1216,42.068,-8.93
1217,42.069,-8.93
1218,42.498,-8.957
1219,42.506,-8.879
1220,46.596,-8.44
1221,46.873,-8.485
1222,47.019,-8.479
1223,47.407,-8.454
1224,47.752,-8.251
1225,48.093,-8.246
1226,48.354,-8.214
1227,48.343,-8.231
1229,49.374,-8.145
1230,49.924,-8.044
1231,50.283,-8.049
1232,53.467,-7.565
1233,54.049,-7.448
1234,54.228,-7.625
1235,54.229,-7.625
1236,55.958,-7.19
1237,56.04,-7.364
1238,56.161,-7.333
1239,56.161,-7.334
1240,56.599,-7.199
1241,57.681,-7.008
1242,58.343,-6.946
1243,58.477,-6.864
1244,58.692,-7.002
1245,58.782,-6.981
1246,58.718,-6.918
1247,59.78,-6.773
1248,60.101,-6.664
1249,60.594,-6.7
1250,62.51,-6.411
1251,36.374,-9.094
1252,36.531,-9.043
1253,38.136,-8.863
1254,38.64,-8.95
1255,39.693,-8.791
1256,39.791,-8.695
1257,39.825,-8.777
1258,40.736,-8.617
1259,41.127,-8.73
1260,46.942,-8.003
1261,48.012,-7.921
1262,48.258,-7.906
1263,48.258,-7.905
1264,48.593,-7.762
1265,48.959,-7.716
1266,50.51,-7.474
1267,51.537,-7.544
1268,53.748,-7.061
1269,53.749,-7.061
1270,55.005,-7.096
1271,55.794,-6.928
1272,59.983,-6.413
1273,60.108,-6.268
1274,60.11,-6.268
1276,61.044,-6.176
1277,62.294,-5.996
1278,36.328,-8.717
1279,36.62,-8.725
1280,37.191,-8.641
1281,39.592,-8.428
1282,39.977,-8.401
1283,40.297,-8.274
1284,40.857,-8.136
1285,41.539,-8.095
1286,42.326,-8.175
1287,44.425,-7.954
1288,45.833,-7.783
1289,46.127,-7.669
1290,48.513,-7.397
1291,49.475,-7.302
1292,50.573,-7.091
1293,50.579,-7.092
1294,50.788,-7.067
1295,51.263,-6.957
1296,51.557,-7.085
1297,52.185,-6.933
1298,52.668,-6.982
1299,52.965,-6.898
1300,53.264,-6.866
1301,54.094,-6.701
1302,55.604,-6.445
1303,55.916,-6.356
1304,59.367,-5.871
1305,59.69,-5.887
1306,61.409,-5.67
1307,35.716,-8.626
1308,40.458,-7.925
1309,44.849,-7.396
1310,47.156,-7.225
1311,48.185,-7.078
1312,48.744,-6.974
1313,50.723,-6.669
1314,51.066,-6.59
