RA,DEC
127.415,40.957
175.528,56.192
170.46,56.533
186.845,57.402
189.343,57.257
192.728,57.233
191.952,57.632
191.95,57.633
194.43,57.53
169.56,57.204
178.399,58.125
182.062,58.108
141.846,47.863
143.448,48.649
138.072,47.581
139.852,46.605
143.035,49.387
131.063,43.308
138.668,47.693
138.664,47.691
153.47,53.572
161.457,55.589
161.739,55.681
136.478,47.183
134.765,38.644
134.559,38.942
135.024,39.33
143.56,43.761
119.499,28.311
127.228,34.649
127.46,34.764
128.131,35.287
134.69,39.51
135.529,40.112
122.453,31.948
136.673,41.814
136.667,41.81
136.672,41.811
141.757,44.429
180.821,51.404
180.825,51.401
183.266,51.648
183.264,51.647
165.292,50.249
180.891,51.806
195.92,51.495
195.921,51.497
149.962,46.739
159.832,49.64
165.516,50.829
173.471,51.829
154.269,48.487
169.407,51.772
151.906,48.398
151.907,48.393
151.827,48.379
169.65,52.314
174.721,52.84
151.69,48.627
136.451,37.381
139.5,40.007
149.909,44.492
115.85,23.607
115.982,23.85
149.78,44.796
138.533,40.616
139.72,41.11
139.715,41.107
139.718,41.107
139.846,41.141
145.903,43.922
149.973,45.273
126.172,31.102
113.338,20.353
120.001,27.15
118.75,25.074
119.602,26.087
122.216,28.118
122.816,28.753
132.04,35.259
132.041,35.26
121.701,28.421
123.177,29.604
126.86,32.754
133.284,37.222
133.542,35.543
141.0,39.513
145.986,41.747
145.985,41.745
147.49,42.373
167.944,47.793
185.926,49.155
191.962,48.855
213.371,45.323
214.126,45.104
221.543,42.775
230.352,38.794
233.649,37.145
132.113,35.172
144.092,41.469
157.736,46.198
163.93,47.466
173.491,48.957
174.347,49.018
174.861,48.956
176.013,49.077
201.047,48.292
218.176,44.455
218.18,44.455
137.362,38.691
154.471,45.534
160.762,47.212
170.342,48.985
204.571,48.277
137.92,39.557
160.363,47.714
164.469,48.519
174.642,49.75
174.867,49.812
128.622,34.274
130.936,35.833
137.68,39.699
154.244,46.511
171.169,49.873
177.487,50.481
185.058,50.649
190.305,50.606
200.923,49.56
218.931,45.381
219.19,45.444
221.851,44.529
226.639,42.641
228.091,41.908
153.347,46.667
160.794,48.642
132.179,3.804
132.178,3.806
141.671,4.79
144.45,5.038
144.45,5.037
125.78,3.565
125.781,3.565
136.611,4.594
154.857,6.148
